15		3		2
48		0		0
39		3		1
36		0		3
20		0		3
17		1		7
68		0		2
46		2		1
8		0		5
80		0		3
73		1		5
45		1		5
2		2		6
66		2		1
42		2		7
31		3		5
89		1		7
69		1		1
0		0		2
0		0		4
17		1		6
11		3		2
76		0		2
75		3		4
11		3		3
35		3		4
1		1		4
93		1		3
10		2		0
21		1		4
63		3		4
61		1		0
87		3		6
37		1		3
40		0		6
60		0		6
12		0		3
48		0		4
33		1		3
76		0		4
31		3		7
80		0		0
47		3		2
39		3		5
86		2		0
61		1		1
68		0		2
57		1		7
4		0		3
95		3		1
37		1		3
3		3		5
30		2		7
89		1		4
26		2		1
60		0		1
80		0		1
45		1		3
67		3		5
36		0		5
1		1		1
6		2		2
71		3		7
77		1		3
62		2		4
20		0		3
79		3		3
0		0		6
78		2		1
26		2		5
58		2		2
18		2		2
79		3		0
69		1		6
53		1		5
3		3		2
54		2		1
76		0		1
77		1		6
53		1		3
78		2		1
91		3		2
1		1		7
72		0		7
33		1		2
40		0		3
88		0		3
34		2		0
75		3		3
18		2		0
61		1		2
34		2		7
83		3		7
45		1		4
17		1		6
0		0		7
75		3		7
57		1		4
34		2		1
60		0		7
83		3		0
15		3		0
11		3		1
44		0		6
4		0		6
66		2		5
84		0		1
85		1		4
64		0		6
80		0		5
32		0		0
28		0		3
75		3		6
88		0		6
71		3		4
81		1		3
52		0		0
79		3		0
97		1		3
54		2		6
37		1		5
71		3		2
74		2		0
94		2		6
90		2		6
71		3		2
59		3		7
82		2		6
89		1		6
96		0		5
22		2		2
68		0		6
78		2		3
90		2		4
26		2		5
34		2		7
18		2		5
89		1		0
14		2		7
34		2		4
62		2		1
79		3		5
56		0		5
59		3		6
35		3		0
11		3		5
38		2		3
83		3		4
30		2		2
96		0		4
71		3		2
71		3		1
88		0		5
85		1		6
0		0		7
58		2		2
24		0		1
87		3		0
2		2		3
30		2		1
55		3		1
94		2		5
72		0		2
13		1		2
4		0		2
62		2		3
44		0		2
16		0		4
99		3		5
86		2		3
20		0		5
14		2		4
86		2		5
28		0		5
52		0		3
26		2		3
0		0		5
52		0		1
3		3		2
79		3		3
28		0		2
34		2		0
28		0		2
5		1		3
55		3		7
30		2		3
40		0		4
23		3		3
50		2		3
68		0		2
62		2		6
62		2		3
19		3		6
40		0		2
80		0		7
33		1		4
13		1		3
33		1		5
21		1		2
24		0		4
33		1		7
3		3		6
3		3		6
5		1		5
82		2		1
8		0		0
19		3		6
59		3		3
36		0		7
17		1		5
71		3		3
29		1		0
22		2		6
30		2		4
52		0		6
72		0		2
61		1		0
16		0		1
58		2		1
70		2		0
46		2		6
37		1		1
52		0		4
60		0		1
0		0		2
10		2		3
29		1		7
59		3		3
54		2		1
47		3		6
48		0		0
48		0		5
52		0		0
78		2		6
37		1		5
3		3		3
31		3		0
1		1		0
88		0		1
29		1		0
91		3		7
11		3		0
82		2		7
76		0		4
12		0		3
47		3		0
99		3		3
74		2		3
12		0		4
14		2		5
53		1		1
85		1		5
9		1		6
73		1		5
51		3		6
86		2		3
45		1		1
15		3		3
20		0		7
16		0		1
19		3		3
97		1		6
62		2		7
70		2		2
76		0		4
28		0		5
5		1		1
18		2		6
3		3		7
11		3		6
97		1		1
49		1		2
47		3		5
22		2		3
60		0		6
52		0		7
5		1		6
98		2		7
25		1		0
46		2		1
8		0		2
83		3		1
91		3		1
27		3		2
45		1		2
52		0		6
40		0		2
37		1		7
23		3		7
6		2		3
49		1		7
67		3		6
65		1		1
73		1		2
37		1		7
92		0		5
97		1		3
10		2		4
80		0		5
38		2		5
79		3		7
20		0		3
97		1		5
